Title,Subtitle,DateTime
SPEAKER'S RULINGS,Government Order of the Day—Motion to Discharge,2021-03-24 14:01:55
URGENT DEBATES DECLINED,COVID-19—Trans-Tasman Travel Bubble,2021-03-23 14:49:02
TEAM NEW ZEALAND,America's Cup Victory,2021-03-18 14:01:19
MOTIONS,Allocation of Oral Questions—Leave Declined,2021-03-18 15:05:13
ADDRESS IN REPLY,Presentation to Governor-General,2021-03-17 14:01:14
MOTIONS,Attacks on Christchurch Masjidain—Second Anniversary,2021-03-16 14:01:18
VOTING,"Correction—Taxation (Annual Rates for 2020-21, Feasibility Expenditure, and Remedial Matters) Bill",2021-03-11 16:36:52
MOTIONS,No Confidence in Speaker—Leave Declined,2021-03-10 14:56:30
SPEAKER'S RULINGS,Ministerial Statements—Changes to Standing Orders,2021-03-09 14:01:37
MINISTERIAL STATEMENTS,COVID-19—Alert Level Changes,2021-03-09 14:02:27
MINISTERIAL STATEMENTS,COVID-19—Alert Level Changes,2021-03-09 14:32:44
URGENT DEBATES DECLINED,COVID-19—Alert Level Changes,2021-03-09 15:26:08
SPEAKER'S RULINGS,Urgent Debates—Updated Procedure for Applications,2021-03-09 15:26:42
URGENT DEBATES DECLINED,Mental Health and Wellbeing Commission Report—Mā Te Rongo Ake,2021-03-09 15:27:50
COVID-19 ORDERS,Approval,2021-03-09 15:28:35
RETIREMENTS,Assistant Serjeant-at-Arms—Jim McDonald,2021-02-25 14:01:18
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 9 to Minister, 9 December 2020",2021-02-25 14:04:45
SPECIAL DEBATES,Inquiry into New Zealand's Aid to the Pacific,2021-02-25 15:02:57
SPEAKER'S RULINGS,Points of Order—Process and Purpose,2021-02-24 14:00:24
MOTIONS,Member's Notice of Motion No. 1—Leave Declined,2021-02-24 14:57:10
CHRISTCHURCH EARTHQUAKE OF 22 FEBRUARY 2011,10th Anniversary,2021-02-23 14:00:58
INTELLIGENCE AND SECURITY COMMITTEE,Membership,2021-02-18 14:59:10
URGENT DEBATES,COVID-19—Alert Levels,2021-02-16 14:52:30
SPEAKER'S RULINGS,Debating Chamber—Dress Code,2021-02-09 14:08:51
MOTIONS,No Confidence in Speaker—Leave Declined,2021-02-09 14:55:34
VOTING,Correction—Local Electoral (Māori Wards and Māori Constituencies) Amendment Bill,2021-02-09 21:43:05
WHAKAARI / WHITE ISLAND ERUPTION,Anniversary,2020-12-09 14:00:04
INTERVENTIONS,Rt Hon Trevor Mallard—Media Statement,2020-12-09 14:12:45
ADJOURNMENT,,2020-12-09 14:54:24
STANDING ORDERS,Sessional,2020-12-08 19:15:36
PARLIAMENTARY SERVICE COMMISSION,Membership,2020-12-08 19:37:42
STANDING ORDERS,Sessional,2020-12-08 19:39:03
STANDING ORDERS,Sessional,2020-12-08 19:39:03
CLIMATE CHANGE,Declaration of Climate Emergency,2020-12-02 14:51:00
APPOINTMENTS,Deputy Speaker,2020-11-26 11:35:58
STANDING ORDERS,Sessional,2020-11-26 11:59:24
SPEAKER'S RULINGS,Behaviour in the Chamber—Dress Code,2020-11-26 16:27:24
