Title,Subtitle,DateTime
VOTING,Correction—Plant Variety Rights Bill,2022-05-10 21:57:50
MOTIONS,Misuse of Drugs (Classification and Presumption of Supply Order 2022—Approval,2022-05-05 15:06:38
URGENT DEBATES DECLINED,Parliamentary Precinct—Issuance of Trespass Notices,2022-05-04 14:56:41
SPEAKER'S STATEMENTS,Gallery—Wearing Masks,2022-05-04 17:40:20
OBITUARIES,Ian Brooks,2022-05-03 14:04:27
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 10 to Minister, 9 February",2022-05-03 14:05:23
URGENT DEBATES DECLINED,Disability Commissioner—Report on Support for Disabled People and Whānau during Omicron,2022-05-03 15:12:47
ANNUAL REVIEW DEBATE,In Committee,2022-05-03 15:14:00
MOTIONS,Matatini—50th Anniversary,2022-04-14 14:01:04
URGENT DEBATES DECLINED,Supreme Court—Extradition Judgment,2022-04-14 14:58:11
APPOINTMENTS,Parliamentary Commissioner for the Environment,2022-04-14 15:00:47
OFFICES OF PARLIAMENT,Address to Governor-General,2022-04-14 15:01:39
COVID-19 ORDERS,Approval,2022-04-14 15:05:10
MOTIONS,Poppy Day—Centenary,2022-04-13 14:01:27
ANNUAL REVIEW DEBATE,In Committee,2022-04-13 17:03:20
ANNUAL REVIEW DEBATE,In Committee,2022-04-12 14:55:44
SPEAKER'S STATEMENTS,Privilege—Freedom of Speech in the House,2022-04-06 17:56:37
OBITUARIES,Sir Robert McDowall (Robin) Gray,2022-04-05 14:00:48
OBITUARIES,Dr Moana Jackson,2022-03-31 14:06:52
APPOINTMENTS,Chief Electoral Officer,2022-03-30 15:59:52
MOTIONS,"Academy Award, Congratulations—Dame Jane Campion",2022-03-29 14:00:58
RESIGNATIONS,"Louisa Wall, New Zealand Labour",2022-03-29 14:01:44
COVID-19 ORDERS,Approval,2022-03-29 21:17:28
MOTIONS,New Zealand Winter Paralympics Team 2022—Congratulations,2022-03-16 14:00:53
SPEAKER'S STATEMENTS,Parliament Grounds—Reopening Ceremony,2022-03-16 14:14:20
MOTIONS,Christchurch Terror Attacks—Third Anniversary,2022-03-15 14:00:43
SPEAKER'S STATEMENTS,Question Time—Remote Participation,2022-03-15 14:39:57
VOTING,Correction—COVID-19 Response (Courts Safety) Legislation Bill,2022-03-15 21:57:50
SPEAKER'S RULINGS,Remote Participation—Calling for a Party Vote,2022-03-08 17:40:07
VOTING,Correction—Land Transport (Drug Driving) Amendment Bill,2022-03-08 17:43:57
VOTING,Correction—Commerce Amendment Bill,2022-03-08 21:22:22
MOTIONS,New Zealand Parliament—Occupation of Grounds,2022-03-03 14:03:07
MOTIONS,New Zealand Winter Olympic Team 2022—Congratulations,2022-03-02 14:01:40
URGENT DEBATES DECLINED,"COVID-19 Response—Testing, Processing Delays",2022-03-02 15:18:22
SPEAKER'S STATEMENTS,Remote Sittings—Seeking the Call,2022-03-02 20:29:36
MOTIONS,Ukraine—Russian Invasion,2022-03-01 14:01:42
SPEAKER'S STATEMENTS,Photography in the Chamber—Remote Sittings,2022-03-01 14:28:47
APPOINTMENTS,Assistant Speaker,2022-03-01 15:41:44
COVID-19 ORDERS,Approval,2022-03-01 15:46:30
STANDING ORDERS,Sessional,2022-02-17 15:02:16
INTELLIGENCE AND SECURITY COMMITTEE,Membership,2022-02-16 17:53:27
COVID-19 ORDERS,Approval,2022-02-16 17:53:56
OBITUARIES,Hon Peter Neilson,2022-02-15 14:00:28
URGENT DEBATES DECLINED,"COVID-19 Mandate Protest, Wellington—Speaker's Response",2022-02-15 14:59:54
MOTIONS,Her Majesty Queen Elizabeth II—Platinum Jubilee,2022-02-09 14:01:28
VOTING,Correction—Conversion Practices Prohibition Legislation Bill,2022-02-09 21:54:28
SPEAKER'S RULINGS,Conversion Practices Prohibition Legislation Bill—Voting,2022-02-08 19:00:00
SPEAKER'S STATEMENTS,Reminder to Members—Email,2022-02-08 21:00:01
COVID-19 ORDERS,Approval,2021-12-15 15:02:58
SPEAKER'S STATEMENTS,Te Reo Māori Interpretation—Question Time,2021-12-14 14:00:48
VOTING,Correction—Extended Sitting Motion,2021-12-14 16:05:33
SPECIAL DEBATES,In Committee,2021-12-14 20:01:38
COVID-19 PUBLIC HEALTH RESPONSE ACT 2020,Continuation,2021-12-09 09:00:20
OBITUARIES,Wiki Mulholland,2021-12-08 14:01:29
INTERVENTIONS,Unparliamentary Language—Apology,2021-12-08 19:13:36
MOTIONS,Black Caps—Ajaz Patel's Success,2021-12-07 14:01:26
URGENT DEBATES,COVID-19 Response—Report into Deaths in Self-Isolation,2021-12-07 15:02:53
OFFICES OF PARLIAMENT,Address to Governor-General,2021-12-07 15:04:31
MOTIONS,Parliamentary Precincts—Addition and Exclusion of Premises,2021-12-07 15:05:07
URGENT DEBATES,COVID-19 Response—Report into Deaths in Self-Isolation,2021-12-07 16:49:34
STANDING ORDERS,Sessional,2021-11-25 14:46:44
SPEAKER'S RULINGS,COVID-19 Response (Vaccinations) Legislation Bill—Third Reading Debate,2021-11-24 12:50:59
MOTIONS,COVID-19 Response (Vaccinations) Legislation Act 2021—Health Committee Inquiry,2021-11-24 16:06:55
POINTS OF ORDER,COVID-19 Public Health Response Amendment Bill (No 2)—Voting Process,2021-11-18 14:02:02
OBITUARIES,Murray John Finlay Luxton,2021-11-17 14:00:40
SPECIAL DEBATES,In Committee,2021-11-17 17:00:48
PARLIAMENTARY SERVICE COMMISSION,Membership,2021-11-16 14:53:31
OFFICES OF PARLIAMENT,Office of the Controller and Auditor-General—Appointment of Auditors,2021-11-16 14:53:57
COVID-19 ORDERS,Approval,2021-11-16 14:55:58
VOTING,Correction—Oversight of Oranga Tamariki System and Children and Young People's Commission Bill,2021-11-16 21:50:18
SPEAKER'S RULINGS,"Contraception, Sterilisation, and Abortion (Safe Areas) Amendment Bill—Process",2021-11-10 21:36:28
OBITUARIES,Dame Catherine Tizard,2021-11-09 14:04:09
SPEAKER'S RULINGS,Face Masks—Political Logos,2021-11-09 15:11:07
URGENT DEBATES DECLINED,COVID-19—Public Relations in Relation to COVID-19 Vaccine,2021-11-09 15:11:57
VOTING,Correction—COVID-19 Response (Management Measures) Legislation Bill,2021-10-28 12:40:28
VOTING,Correction—COVID-19 Response (Management Measures) Legislation Bill,2021-10-28 12:48:37
URGENT DEBATES DECLINED,ACC—Privacy Protections,2021-10-27 14:56:23
SPEAKER'S RULINGS,"Interpretation of ""Business Attire""",2021-10-21 14:55:16
POINTS OF ORDER,COVID-19 Vaccination,2021-10-21 14:56:18
SPEAKER'S RULINGS,Written Questions—Replies,2021-10-20 14:00:47
OBITUARIES,Sean Wainui,2021-10-20 14:04:59
OBITUARIES,John Murray Rose QSM,2021-10-19 14:00:53
STANDING ORDERS,Sessional,2021-10-19 15:03:18
MOTIONS,Te Rōpū Wāhine Māori Toko i te Ora—70th Anniversary,2021-09-29 14:00:41
COVID-19 ORDERS,Approval,2021-09-28 14:56:56
SPEAKER'S OBSERVATIONS,Interjections—Microphones,2021-09-22 14:01:16
